id,name,active
base.lang_en,English,True
base.lang_am_ET,Amharic / አምሃርኛ,False
base.lang_ar_SY,Arabic,True
base.lang_eu_ES,Basque,True
base.lang_bs_BA,Bosnian / bosanski jezik,False
base.lang_bg,Bulgarian,True
base.lang_ca_ES,Catalan,True
base.lang_zh_CN,Chinese (Simplified) / 简体中文,False
base.lang_zh_HK,Chinese (HK),False
base.lang_zh_TW,Chinese,True
base.lang_hr,Croatian,True
base.lang_cs_CZ,Czech,True
base.lang_da_DK,Danish,True
base.lang_nl_BE,Dutch (BE) / Nederlands (BE),False
base.lang_nl,Dutch,True
base.lang_en_AU,English (AU),False
base.lang_en_GB,English (UK),False
base.lang_et_EE,Estonian,True
base.lang_fi,Finnish,True
base.lang_fr_BE,French (BE) / Français (BE),False
base.lang_fr_CA,French (CA) / Français (CA),False
base.lang_fr_CH,French (CH) / Français (CH),False
base.lang_fr,French,True
base.lang_gl_ES,Galician / Galego,False
base.lang_ka_GE,Georgian,True
base.lang_de,German,True
base.lang_de_CH,German (CH) / Deutsch (CH),False
base.lang_el_GR,Greek,True
base.lang_gu_IN,Gujarati,True
base.lang_he_IL,Hebrew,True
base.lang_hi_IN,Hindi,True
base.lang_hu,Hungarian,True
base.lang_id,Indonesian,True
base.lang_it,Italian,True
base.lang_ja_JP,Japanese,True
base.lang_kab_DZ,Kabyle / Taqbaylit,False
base.lang_ko_KP,Korean (KP),True
base.lang_ko_KR,Korean (KR) / 한국어 (KR),False
base.lang_lo_LA,Lao / ພາສາລາວ,False
base.lang_lv,Latvian,True
base.lang_lt,Lithuanian,True
base.lang_mk,Macedonian,True
base.lang_mn,Mongolian,True
base.lang_my,Burmese / ဗမာစာ,False
base.lang_nb_NO,Norwegian Bokmål,True
base.lang_fa_IR,Persian,True
base.lang_pl,Polish,True
base.lang_pt_BR,Portuguese (BR) / Português (BR),False
base.lang_pt,Portuguese,True
base.lang_ro,Romanian,True
base.lang_ru,Russian,True
base.lang_sr_RS,Serbian (Cyrillic),True
base.lang_sr@latin,Serbian (Latin) / srpski,False
base.lang_sk,Slovak,True
base.lang_sl_SI,Slovenian,True
base.lang_es_AR,Spanish (AR) / Español (AR),False
base.lang_es_BO,Spanish (BO) / Español (BO),False
base.lang_es_CL,Spanish (CL) / Español (CL),False
base.lang_es_CO,Spanish (CO) / Español (CO),False
base.lang_es_CR,Spanish (CR) / Español (CR),False
base.lang_es_DO,Spanish (DO) / Español (DO),False
base.lang_es_EC,Spanish (EC) / Español (EC),False
base.lang_es_GT,Spanish (GT) / Español (GT),False
base.lang_es_MX,Spanish (MX) / Español (MX),False
base.lang_es_PA,Spanish (PA) / Español (PA),False
base.lang_es_PE,Spanish (PE) / Español (PE),False
base.lang_es_PY,Spanish (PY) / Español (PY),False
base.lang_es_UY,Spanish (UY) / Español (UY),False
base.lang_es_VE,Spanish (VE) / Español (VE),False
base.lang_es,Spanish,True
base.lang_sv_SE,Swedish,True
base.lang_th,Thai,True
base.lang_tr,Turkish,True
base.lang_uk_UA,Ukrainian,True
base.lang_vi_VN,Vietnamese,True
base.lang_sq_AL,Albanian,True
base.lang_te_IN,Telugu,True
